,Project,Website,Protocols,DefiSafety Score,Audit,Github
185,Hop,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Ethereum', 'Polygon', 'Optimism', 'Gnosis Chain']",67%,"['Hop comes close to our arbitrary passing grade thanks to good process quality. Good documentation (though brief) and a clear team structure alongside great audit practises are the strengths of Hop. However, it should implement a bug bounty as well as explain their testing methodologies a little more clearly. Most critical to improve however is clear information relating to access controls: there is no information about this. All things considered though, they document their development processes relatively robustly.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Hop was audited twice before launch. ']",#code-used-appendix
186,Opyn V2,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Arbitrum', 'Avalanche', 'Ethereum']",84%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Multiple audits have been performed and documented before and after deployment. Findings are public and multiple fixes were deployed.']",#executing-code-appendix
187,BitDAO,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],78%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'A single audit before deployment was found here. However, we would like to note that this audit only covers ERC-20 compliance for the BIT token, and does not cover the treasury contract or other contracts. However, Gnosis Safe contracts were also extensively audited as seen here.']",https://docs.defisafety.com/v/0.8/review-process-documentation/process-quality-review-documentation#code-documentation
188,Lido,https://lido.fi/,"['Ethereum', 'Polygon', 'Solana', 'Terra', 'Kusama']",92%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Lido has been audited mutliple times pre and post deployment by MixBytes, SigmaPrime, and Quantstamp. Most issues underlined by the audit reports were fixed by the Lido team.']",#executing-code-appendix
189,Quickswap,https://quickswap.exchange/#/swap,['Polygon'],80%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'The contracts that Quickswap forked (Uniswap V2) are audited. Quickswap is a line for line copy of the Uniswap contracts, as stated here. As such, we will award points for this.']",#executing-code-appendix
190,Aperture Finance ,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Terra'],75%,"[""Aperture is closed source, and yet with excellent documentation relating to permissions it scores well. This is notable because we dock points for closed source protocols (e.g. the audit score would be 90% with open code). Through good developer communications and a dedicated team working away at it, their score roughly doubled over the course of this review.\nWe'd value a bug bounty and hope that they decide to open source their protocol. Nevertheless, we understand why they have yet to.\n\xa0\n\xa0Once again though, it's notable how highly the score given their closed source nature."", 'Unfortunately, without access to the contract repository we cannot quantify development history. The audit conducted  on this protocol confirms the existence of a contracts repository, but at this point Aperture retains its contracts in a private repository.', ""No testing is documented in the protocol's repository. This is a result of the protocol remaining closed source. As the audit identifies, there is an Aperture Contracts repository but it remains private.\n\xa0\n\xa0Nevertheless, given proof of such a high code coverage (at 80%), it's clear that this protocol has done good testing (even if it is closed source). As such, we can award marks since high code coverage necessitates good test suites in the first place. This means the protocol has clearly tested their code in a robust manner."", 'This section looks at the 3rd party software audits done. It is explained in this document.', ""Aperture undertook an audit by Oak Security.  Given that the contracts that were audited are not available for comparison, we must deduct 25% as per guidance. This is because we cannot verify if the code deployed is the same code that has been subject to the audit.\n\xa0\n\xa0This audit predated the public deployment of Aperture's contracts."", ""Aperture's oracle source is mentioned in the documentation and audit as being dependent on Mirror, and related documentation is linked. The contracts dependent (Delta-neutral Strategy) on this oracle are identified and there is comprehensive software function documentation in the linked documentation.""]",#code-used-appendix
191,Ref Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Near'],85%,"[""Ref's code coverage stands at 51%, as identifed in their Jita audit."", 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Ref has been audited once, and this was post-launch.']",#code-used-appendix
192,Marinade,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Solana'],70%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Marinade has undergone 2 formal audits and 1 code review. Each of these were performed post-deployment.  This was conducted after deployment. Kudelski Security and Ackee Blockchain conducted these audits. Neodyme conducted a code review.']",#code-used-appendix
193,Alpaca Finance,https://app.alpacafinance.org/lend,['BnB Smart Chain'],87%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Alpaca Finance has been extensively audited, with 20 audits under their belt performed before and after deployment.']",https://docs.alpacafinance.org/transparency#contract-documentation
194,Impossible Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Ethereum', 'Polygon']",94%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Impossible Finance has been audited multiple times both pre-deployment and post deployment. Audit reports can be found here.']",#executing-code-appendix
195,Katana.so,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Solana'],8%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Katana is unaudited and closed-source.']",https://docs.defisafety.com/v/0.8/review-process-documentation/process-quality-review-documentation#code-documentation
196,Beefy.finance,https://beefy.finance/,"['Arbitrum', 'Avalanche', 'BnB Smart Chain', 'Celo', 'Cronos', 'HECO', 'Moonriver', 'Polygon', 'Aurora', 'Harmony', 'Moonbeam', 'Metis', 'Fuse']",79%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Beefy has undergone multiple audits. These were post deployment. Their first ""audit"" was not an audit - it is a smart contract analysis. Their second and third audit was conducted by CertiK. Beefy uses V6 vaults - the most recent audit had V4 vaults in scope. Nevertheless, given the highly fluid nature of yield aggregator contract deployment, we will award points for this. Still, it is time to update these audits or even enter into a continual audit agreement with a firm.']",https://twitter.com/beefyfinance/following
197,Rari Capital,https://www.coindesk.com/business/2022/04/30/defi-lender-rari-capitalfei-loses-80m-in-hack/,"['Arbitrum', 'Ethereum']",30%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""All of Rari's products have been audited multiple times. Some were pre-deployment and some were post-deployment.""]",https://docs.defisafety.com/v/0.8/review-process-documentation/process-quality-review-documentation#smart-contracts-and-team
198,Alchemix,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],80%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""CertiK has performed an audit on Alchemix post-launch and the report can be found here.\n\xa0\n\xa0Runtime Verification has performed an audit prior to Alchemix's V2 launch, the report can be found here.\n\xa0\n\xa0Most of the fix recommendations were implemented by the Alchemix team.""]",https://etherscan.io/address/0x062Bf725dC4cDF947aa79Ca2aaCCD4F385b13b5c#analytics
199,Maple Finance,https://www.maple.finance/,"['Ethereum', 'Solana']",91%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Maple has undergone 3 audits before mainnet launch and reports are available on their README documentation.']",https://github.com/maple-labs/maple-core#mainnet
200,Quarry,https://discord.com/invite/USBPYxDCqx,['Solana'],39%,"[""A public repository can be found here. However, according to the executive summary of their Quarry's Quantstamp audit, there is a repository containing some programs that is private."", 'This section looks at the 3rd party software audits done. It is explained in this document.', ""Quantstamp audited Quarry from November October 19th 2021 to December 8th 2021, where they uncovered a total of 15 issues, consisting of 4 low, 9 informational, and 2 undetermined severity issues. All issues were either fixed or acknowledged, with the exception of QSP-10, an informational issue.\n\xa0Quarry was deployed on November 19th 2021, indicating that the programs' audit process was not completed on the deployment date.""]",#executing-code-appendix
201,Friktion,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Solana'],14%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Friktion does not document any smart contract audits. With a private repository, this 20% score is reduced to 0.']",https://docs.defisafety.com/v/0.8/review-process-documentation/process-quality-review-documentation#code-documentation
202,dYdX ,https://dydx.exchange/blog/deposit-proxy-post-mortem,['Ethereum'],93%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'dydx has 2 audits that were made pre-launch alongside additional Layer 2 audit. Pre-launch audits can be found here.']",https://github.com/dydxprotocol/solo/blob/master/migrations/deployed.json
203,Bancor V3,https://bancor.network,['Ethereum'],98%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""Bancor's V3 has undergone one pre-launch audit. A second audit by OpenZeppelin has been recently made public.  Despite the second audit being shortly post-release, we will award full points because the code was submitted in advance of release and no critical bugs were identified pre-release. In addition, the contracts have not been updated since the code was submitted for audit - the production version of the contracts remains the same. Normally we penalise protocols that get an audit say 9 months after launch.\n\xa0\n\xa0Certora and Chain Security security reviews are also scheduled.""]",https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf
204,StellaSwap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Parachain'],24%,"[""The protocol's software architecture is not documented; there are no mentions of how smart contracts interact, nor how the architecture is built. Only written descriptions of products are available, which do not count as software architecture documentation.\n\xa0\n\xa0The CertiK audit covers some of the architecture through diagrams and arrows."", 'There are no documented code coverage in the protocol nor the audits.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'StellaSwap has gone through 2 audits post-launch and changes are needed but there are no visible documentation on changes made as a result of the audits. 4 major vulnerabilities were identified by CertiK that were not fixed, though 2 were mitigated.  Score: 50%']",https://github.com/stellaswap/openzeppelin-contracts/tree/master/contracts
205,Votium,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],45%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'There are no audits available on Votium.']",https://etherscan.io/address/0x378ba9b73309be80bf4c2c027aad799766a7ed5a#analytics
206,MeshSwap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Polygon'],60%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'MeshSwap has been audited once by Theori pre-deployment. All recommendations have been implemented and no further changes are required.']",#executing-code-appendix
207,JustLend,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Tron'],46%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'JustLend has undergone 1 audit with CertiK, which was performed post-launch with partial implementation of changes and recommendations. Because of that, the protocol earns a 50%.']",https://tronscan.org/#/contract/TH1SVVVU9NF1ans3CRBCJ5kW2yvn4sHP9b/transactions
208,PancakeSwap V2,https://pancakeswap.finance/,['BnB Smart Chain'],54%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'The PancakeSwap deployer was deployed on September 15th 2020.\n\xa0PancakeSwap was audited by Slowmist 3 times; Once for overall security on May 12th 2021, once for Auto-CAKE pool security on May 21st 2021, and once for Lottery V2 on June 16th 2021.\n\xa0In addition, PancakeSwap was audited by Certik on October 13th 2020. LotteryV2 was re-audited by Peckshield on July 7th 2021.']",https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf
209,Angle Protocol,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],97%,"['There is testing report evidence within the actions tab from the angle-borrow repository as well as angle-strategies.\n\xa0\n\xa0SigmaPrime audit test evidence can be found in this link as well for further evidence:\n\xa0https://924174234-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2F-MZrRrYejMtN3SzZU10r%2Fuploads%2Fgit-blob-d8ac640f964f9da5c79f2cff8727bc27ada250f7%2Fsp.pdf?alt=media', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'SigmaPrime and Chainsecurity audits have been performed before launch and Chainsecurity offers extensive audits at different timeframes, earning the protocol a 100%.\n\xa0\n\xa0']",https://etherscan.io/address/0x1a7e4e63778B4f12a199C062f3eFdD288afCBce8#analytics
210,Port Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Solana'],56%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""There are claims in Port's documentation of it being audited by reputable auditing firms. Port has made public audits by Kudelski security and Bramah Systems in their documentation. The issues identified are mitigated and one audit was conducted post-launch with the Bramah Systems audit being conducted before launch.""]",https://github.com/port-finance/sundial/tree/master/deps
